id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,custom_label_0
LEV-CAS-12H15-001,Casco Promend 12H15 - Plomo Mate,"Casco aerodinámico de alta protección, con visor magnético y luz trasera LED integrada.",in stock,new,45.00 USD,https://levwild.com/#producto-lev-cas-12h15-001,https://levwild.com/images/products/casco-promend-12H15-plomo-01.webp,Promend,Cascos,Cascos,Plomo Mate
LEV-CAS-12H15-002,Casco Promend 12H15 - Negro con Blanco,"Casco aerodinámico de alta protección, con visor magnético y luz trasera LED integrada.",in stock,new,45.00 USD,https://levwild.com/#producto-lev-cas-12h15-002,https://levwild.com/images/products/casco-promend-12H15-negrob-01.webp,Promend,Cascos,Cascos,Negro con Blanco
LEV-CAS-12H15-003,Casco Promend 12H15 - Negro con Rojo,"Casco aerodinámico de alta protección, con visor magnético y luz trasera LED integrada.",in stock,new,45.00 USD,https://levwild.com/#producto-lev-cas-12h15-003,https://levwild.com/images/products/casco-promend-12H15-negror-01.webp,Promend,Cascos,Cascos,Negro con Rojo
LEV-CAS-12H22N-001,Casco Promend 12H22N - Negro,"Casco aerodinámico de alta protección, con ventilación optimizada y visor magnético, ideal para ruta.",in stock,new,37.00 USD,https://levwild.com/#producto-lev-cas-12h22n-001,https://levwild.com/images/products/casco-promend-12H22N-negro-01.webp,Promend,Cascos,Cascos,Negro
LEV-CAS-12H22N-002,Casco Promend 12H22N - Blanco,"Casco aerodinámico de alta protección, con ventilación optimizada y visor magnético, ideal para ruta.",in stock,new,37.00 USD,https://levwild.com/#producto-lev-cas-12h22n-002,https://levwild.com/images/products/casco-promend-12H22N-blanco-01.webp,Promend,Cascos,Cascos,Blanco
LEV-CAS-12H22N-003,Casco Promend 12H22N - Rojo con Negro,"Casco aerodinámico de alta protección, con ventilación optimizada y visor magnético, ideal para ruta.",in stock,new,37.00 USD,https://levwild.com/#producto-lev-cas-12h22n-003,https://levwild.com/images/products/casco-promend-12H22N-negrorojo-01.webp,Promend,Cascos,Cascos,Rojo con Negro
LEV-CAS-12H09-001,Casco Promend 12H09 - Blanco,"Casco aerodinámico de alta protección, con ventilación optimizada y visor magnético, ideal para ruta.",in stock,new,29.00 USD,https://levwild.com/#producto-lev-cas-12h09-001,https://levwild.com/images/products/casco-promend-12H09-blanco-01.webp,Promend,Cascos,Cascos,Blanco
LEV-CAS-12H09-002,Casco Promend 12H09 - Negro con Plomo,"Casco aerodinámico de alta protección, con ventilación optimizada y visor magnético, ideal para ruta.",in stock,new,29.00 USD,https://levwild.com/#producto-lev-cas-12h09-002,https://levwild.com/images/products/casco-promend-12H09-negroplomo-01.webp,Promend,Cascos,Cascos,Negro con Plomo
LEV-CAS-12H09-003,Casco Promend 12H09 - Negro con Rojo,"Casco aerodinámico de alta protección, con ventilación optimizada y visor magnético, ideal para ruta.",in stock,new,29.00 USD,https://levwild.com/#producto-lev-cas-12h09-003,https://levwild.com/images/products/casco-promend-12H09-negrorojo-01.webp,Promend,Cascos,Cascos,Negro con Rojo
LEV-CAS-11H01-001,Casco Bike Boy 11H01 - Negro con Blanco,"Casco aerodinámico de alta protección, con ventilación optimizada y visor magnético.",in stock,new,25.00 USD,https://levwild.com/#producto-lev-cas-11h01-001,https://levwild.com/images/products/casco-bikeboy-11H01-negrob-01.webp,Bike Boy,Cascos,Cascos,Negro con Blanco
